name,type,variable,value,year,crime_type
"Colorado Springs, Colorado",place,rate,6.136706949,2011,Murder and nonnegligent manslaughter
"Colorado Springs, Colorado",place,rate,75.29267372,2011,Forcible rape
"Colorado Springs, Colorado",place,rate,274.4504707,2010,Aggravated assault
"Colorado Springs, Colorado",place,rate,8395.251133,2011,All Crimes
"Colorado Springs, Colorado",place,rate,490.008117,2009,Violent crime
"Colorado Springs, Colorado",place,rate,270.3680647,2014,Aggravated assault
"Colorado Springs, Colorado",place,rate,3667.611344,2014,Property crime
"Colorado Springs, Colorado",place,rate,2677.610243,2014,Larceny
"Colorado Springs, Colorado",place,rate,9217.441551,2013,All Crimes
"Colorado Springs, Colorado",place,rate,10763.33508,2006,All Crimes
"Colorado Springs, Colorado",place,rate,28.54099994,2008,Arson
