key,id,name,type,variable,value,year,crime_type,place_name
1600000US0816000--2010--Forcible rape--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,80.1737181,2010,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2010--Forcible rape--count,1600000US0816000,"Colorado Springs, Colorado",place,count,319,2010,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2010--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,867.5851877,2010,Burglary,"Colorado Springs, CO"
1600000US0816000--2010--Burglary--count,1600000US0816000,"Colorado Springs, Colorado",place,count,3452,2010,Burglary,"Colorado Springs, CO"
1600000US0816000--2010--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,25.13282699,2010,Arson,"Colorado Springs, CO"
1600000US0816000--2010--Arson--count,1600000US0816000,"Colorado Springs, Colorado",place,count,100,2010,Arson,"Colorado Springs, CO"
1600000US0816000--2010--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,9450.445605,2010,All Crimes,"Colorado Springs, CO"
1600000US0816000--2010--All Crimes--count,1600000US0816000,"Colorado Springs, Colorado",place,count,37602,2010,All Crimes,"Colorado Springs, CO"
1600000US0816000--2010--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,274.4504707,2010,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2010--Aggravated assault--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1092,2010,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2009--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,490.008117,2009,Violent crime,"Colorado Springs, CO"
1600000US0816000--2009--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1968,2009,Violent crime,"Colorado Springs, CO"
1600000US0816000--2009--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,130.7186288,2009,Robbery,"Colorado Springs, CO"
1600000US0816000--2009--Robbery--count,1600000US0816000,"Colorado Springs, Colorado",place,count,525,2009,Robbery,"Colorado Springs, CO"
1600000US0816000--2009--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3665.848327,2009,Property crime,"Colorado Springs, CO"
1600000US0816000--2009--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,14723,2009,Property crime,"Colorado Springs, CO"
1600000US0816000--2009--Murder and nonnegligent manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3.734817965,2009,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2009--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,15,2009,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2009--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,264.1761241,2009,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2009--Motor vehicle theft--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1061,2009,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2009--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,2578.767311,2009,Larceny,"Colorado Springs, CO"
1600000US0816000--2009--Larceny--count,1600000US0816000,"Colorado Springs, Colorado",place,count,10357,2009,Larceny,"Colorado Springs, CO"
1600000US0816000--2009--Forcible rape--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,85.65182533,2009,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2009--Forcible rape--count,1600000US0816000,"Colorado Springs, Colorado",place,count,344,2009,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2009--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,822.9048916,2009,Burglary,"Colorado Springs, CO"
1600000US0816000--2009--Burglary--count,1600000US0816000,"Colorado Springs, Colorado",place,count,3305,2009,Burglary,"Colorado Springs, CO"
1600000US0816000--2009--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,25.1477743,2009,Arson,"Colorado Springs, CO"
1600000US0816000--2009--Arson--count,1600000US0816000,"Colorado Springs, Colorado",place,count,101,2009,Arson,"Colorado Springs, CO"
1600000US0816000--2009--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,8336.860661,2009,All Crimes,"Colorado Springs, CO"
1600000US0816000--2009--All Crimes--count,1600000US0816000,"Colorado Springs, Colorado",place,count,33483,2009,All Crimes,"Colorado Springs, CO"
1600000US0816000--2009--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,269.9028449,2009,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2009--Aggravated assault--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1084,2009,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2008--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,528.2727674,2008,Violent crime,"Colorado Springs, CO"
1600000US0816000--2008--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1999,2008,Violent crime,"Colorado Springs, CO"
1600000US0816000--2008--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,136.8910923,2008,Robbery,"Colorado Springs, CO"
1600000US0816000--2008--Robbery--count,1600000US0816000,"Colorado Springs, Colorado",place,count,518,2008,Robbery,"Colorado Springs, CO"
1600000US0816000--2008--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4246.002278,2008,Property crime,"Colorado Springs, CO"
1600000US0816000--2008--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,16067,2008,Property crime,"Colorado Springs, CO"
1600000US0816000--2008--Murder and nonnegligent manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,6.342444431,2008,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2008--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,24,2008,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
